Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2021
Methylprednisolone in adults hospitalized with COVID-19 pneumonia An open-label randomized trial (GLUCOCOVID),"Corral-Gudino, Luis; Bahamonde, Alberto; Arnaiz-Revillas, Francisco; Gomez-Barquero, Julia; Abadia-Otero, Jesica; Garcia-Ibarbia, Carmen; Mora, Victor; Cerezo-Hernandez, Ana; Hernandez, Jose L.; Lopez-Muniz, Graciela; Hernandez-Blanco, Fernando; Cifrian, Jose M.; Olmos, Jose M.; Carrascosa, Miguel; Nieto, Luis; Farinas, Maria Carmen; Riancho, Jose A.",GLUCOCOVID investigators,,,WIENER KLINISCHE WOCHENSCHRIFT,APR 2021,2021,133,7-8,,,SI,303,311,,10.1007/s00508-020-01805-8,,,0,0,0
An ethics framework for consolidating and prioritizing COVID-19 clinical trials,"Meyer, Michelle N.; Gelinas, Luke; Bierer, Barbara E.; Hull, Sara Chandros; Joffe, Steven; Magnus, David; Mohapatra, Seema; Sharp, Richard R.; Spector-Bagdady, Kayte; Sugarman, Jeremy; Wilfond, Benjamin S.; Lynch, Holly Fernandez",,,,CLINICAL TRIALS,APR 2021,2021,18,2,,,,226,233,1.74077E+15,10.1177/1740774520988669,,,0,0,0
"Clinical trials, adaptability and the COVID-19 pandemic","Eskander, Ramez N.; Pothuri, Bhavana; Randall, Leslie; O'Malley, David; Slomovitz, Brian; Moore, Kathleen; Coleman, Robert; Herzog, Thomas; Monk, Bradley J.; Copeland, Larry",,,,GYNECOLOGIC ONCOLOGY REPORTS,FEB 2021,2021,35,,,,,,,100680,10.1016/j.gore.2020.100680,,,0,0,0
Controlled trials needed to prove efficacy and safety of convalescent plasma therapy in coronavirus disease 2019,"Hartog, Nicholas; Holsworth, Amanda; Rajasekaran, Surender",,,,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,FEB 2021,2021,126,2,,,,122,123,,10.1016/j.anai.2020.11.005,,,0,0,0
Virtual Imaging Trials for Coronavirus Disease (COVID-19),"Abadi, Ehsan; Segars, W. Paul; Chalian, Hamid; Samei, Ehsan",,,,AMERICAN JOURNAL OF ROENTGENOLOGY,FEB 2021,2021,216,2,,,,362,368,,10.2214/AJR.20.23429,,,0,0,0
Challenge Trials: What Are the Ethical Problems?,"Hausman, Daniel M.",,,,JOURNAL OF MEDICINE AND PHILOSOPHY,FEB 2021,2021,46,1,,,,137,145,,10.1093/jmp/jhaa028,,,0,0,0
The preventive effect of Xuebijing injection against cytokine storm for severe patients with COVID-19: A prospective randomized controlled trial,"Luo, Zhijian; Chen, Wei; Xiang, Mingqing; Wang, Hua; Xiao, Wei; Xu, Cheng; Li, Yunkui; Min, Jie; Tu, Qiang",,,,EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE,FEB 2021,2021,42,,,,,,,101305,10.1016/j.eujim.2021.101305,,,0,0,0
"Mobile Health-Supported HIV Self-Testing Strategy Among Urban Refugee and Displaced Youth in Kampala, Uganda: Protocol for a Cluster Randomized Trial (Tushirikiane, Supporting Each Other)","Logie, Carmen; Okumu, Moses; Hakiza, Robert; Musoke, Daniel Kibuuka; Berry, Isha; Mwima, Simon; Kyambadde, Peter; Kiera, Uwase Mimy; Loutet, Miranda; Neema, Stella; Newby, Katie; McNamee, Clara; Baral, Stefan D.; Lester, Richard; Musinguzi, Joshua; Mbuagbaw, Lawrence",,,,JMIR RESEARCH PROTOCOLS,FEB 2021,2021,10,2,,,,,,e26192,10.2196/26192,,,0,0,0
Transitioning Nursing Students' Education from Traditional Classroom to Online Education during the COVID-19 Pandemic: A Case Study Applied to the Meleis Trial,"Jallad, Samar Thabet; Isik, Burcin",,,,FLORENCE NIGHTINGALE JOURNAL OF NURSING,FEB 2021,2021,29,1,,,,124,127,,10.5152/FNJN.2021.20090,,,0,0,0
A randomized trial in the investigation of anxiety and depression in patients with coronavirus disease 2019 (COVID-19),"Zhou, Feng; Wang, Rong-Rong; Huang, Han-Ping; Du, Chun-Ling; Wu, Chao-Min; Qian, Xue-Mei; Li, Wei-Li; Wang, Ju-Li; Jiang, Lv-Yan; Jiang, Hui-Jia; Yu, Wen-Jie; Cheng, Ke-Bin",,,,ANNALS OF PALLIATIVE MEDICINE,FEB 2021,2021,10,2,,,,2167,2174,,10.21037/apm-21-212,,,0,0,0
Promoting Mental Health and Well-Being among Adolescent Young Carers in Europe: A Randomized Controlled Trial Protocol,"Casu, Giulia; Hlebec, Valentina; Boccaletti, Licia; Bolko, Irena; Manattini, Alessandra; Hanson, Elizabeth",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,FEB 2021,2021,18,4,,,,,,2045,10.3390/ijerph18042045,,,0,0,0
Formative Evaluation of a Home-Based Physical Activity Intervention for Adolescent Girls-The HERizon Project: A Randomised Controlled Trial,"Cowley, Emma S.; Watson, Paula M.; Foweather, Lawrence; Belton, Sarahjane; Mansfield, Chiara; Whitcomb-Khan, Gabriella; Cacciatore, Isabella; Thompson, Andrew; Thijssen, Dick; Wagenmakers, Anton J. M.",,,,CHILDREN-BASEL,FEB 2021,2021,8,2,,,,,,76,10.3390/children8020076,,,0,0,0
Safety and efficacy of ozone therapy in mild to moderate COVID-19 patients: A phase 1/11 randomized control trial (SEOT study),"Shah, Mili; Captain, Jignasha; Vaidya, Vidyadhar; Kulkarni, Arvind; Valsangkar, Kedar; Nair, Pradeep M. K.; Ganu, Gayatri",,,,INTERNATIONAL IMMUNOPHARMACOLOGY,FEB 2021,2021,91,,,,,,,107301,10.1016/j.intimp.2020.107301,,,0,0,0
Use of Ivermectin as a Potential Chemoprophylaxis for COVID-19 in Egypt: A Randomized Clinical Trial,"Shoumann, Waheed M.; Hegazy, Abdelmonem Awad; Nafae, Ramadan M.; Ragab, Moustafa, I; Samra, Saad R.; Ibrahim, Dalia Anas; AL-Mahrouky, Tarek H.; Sileem, Ashraf E.",,,,JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,FEB 2021,2021,15,2,,,,,,,10.7860/JCDR/2021/46795.14529,,,0,0,0
Hypofractionated chemoradiation for head and cancer: Data from the PET NECK trial,"Vreugdenhil, M.; Fong, Charles; Sanghera, Paul; Hartley, Andrew; Dunn, Janet; Mehanna, Hisham",,,,ORAL ONCOLOGY,FEB 2021,2021,113,,,,,,,105112,10.1016/j.oraloncology.2020.105112,,,0,0,0
Convalescent plasma therapy for COVID-19 patients: a protocol of a prospective meta-analysis of randomized controlled trials,"Szako, Lajos; Farkas, Nelli; Kiss, Szabolcs; Vancsa, Szilard; Zadori, Noemi; Vorhendi, Nora; Eross, Balint; Hegyi, Peter; Alizadeh, Hussain",,,,TRIALS,FEB 1 2021,2021,22,1,,,,,,112,10.1186/s13063-021-05066-2,,,0,0,0
Research response to coronavirus disease 2019 needed better coordination and collaboration: a living mapping of registered trials,"Nguyen, Van Thu; Rivie, Philippe; Ripoll, Pierre; Barnier, Julien; Vuillemot, Romain; Ferrand, Gabriel; Cohen-Boulakia, Sarah; Ravaud, Philippe; Boutron, Isabelle",COVID-NMA Consortium Team,,,JOURNAL OF CLINICAL EPIDEMIOLOGY,FEB 2021,2021,130,,,,,107,116,,10.1016/j.jclinepi.2020.10.010,,,0,0,0
Accused stripped of the power to elect to have trials before a jury of their peers,"Boersig, J.; Campbell, J.; Carmichael, S.",,,,CURRENT ISSUES IN CRIMINAL JUSTICE,JAN 2 2021,2021,33,1,,,SI,69,75,,10.1080/10345329.2020.1859967,,,0,0,0
Using prosocial behavior to safeguard mental health and foster emotional well-being during the COVID-19 pandemic: A registered report protocol for a randomized trial,"Miles, Andrew; Andiappan, Meena; Upenieks, Laura; Orfanidis, Christos",,,,PLOS ONE,JAN 27 2021,2021,16,1,,,,,,e0245865,10.1371/journal.pone.0245865,,,0,0,0
Overcoming the impact of the COVID-19 pandemic on oncology early phase trials and drug development in Asia-Experiences and perspectives of the Asian Oncology Early Phase 1 Consortium,"Shimizu, Toshio; Kim, Dong-Wan; Loong, Herbert H.; Lin, Chia-Chi; Ng, Matthew C. H.; Yamamoto, Noboru; Ma, Brigette; Tan, Daniel S. W.",,,,ASIA-PACIFIC JOURNAL OF CLINICAL ONCOLOGY,,2021,,,,,,,,,10.1111/ajco.13510,,,0,0,0
Mitigating Study Power Loss Caused by Clinical Trial Disruptions Due to the COVID-19 Pandemic: Leveraging External Data via Propensity Score-Integrated Approaches,"Li, Heng; Chen, Wei-Chen; Lu, Nelson; Song, Changhong; Wang, Chenguang; Tiwari, Ram; Xu, Yunling; Yue, Lilly Q.",,,,STATISTICS IN BIOPHARMACEUTICAL RESEARCH,,2021,,,,,,,,,10.1080/19466315.2020.1860813,,,0,0,0
"Influenza, Like COVID-19, Needs Randomized Trials","Rothberg, Michael B.",,,,JOURNAL OF GENERAL INTERNAL MEDICINE,JUN 2021,2021,36,6,,,,1490,1491,,10.1007/s11606-020-06567-7,,,0,0,0
A pilot trial of human amniotic fluid for the treatment of COVID-19,"Selzman, Craig H.; Tonna, Joseph E.; Pierce, Jan; Vargas, Camila; Skidmore, Chloe; Lewis, Giavonni; Hatton, Nathan D.; Phillips, John D.",,,,BMC RESEARCH NOTES,JAN 22 2021,2021,14,1,,,,,,32,10.1186/s13104-021-05443-9,,,0,0,0
Reopening schools safely in the face of COVID-19: Can cluster randomized trials help?,"Weijer, Charles; Hemming, Karla; Phillips Hey, Spencer; Fernandez Lynch, Holly",,,,CLINICAL TRIALS,JUN 2021,2021,18,3,,,,371,376,1.74077E+15,10.1177/1740774520984860,,,0,0,0
"Evaluation of convalescent plasma versus standard of care for the treatment of COVID-19 in hospitalized patients: study protocol for a phase 2 randomized, open-label, controlled, multicenter trial","Diago-Sempere, Elena; Bueno, Jose Luis; Sancho-Lopez, Aranzazu; Rubio, Elena Munez; Torres, Ferran; de Molina, Rosa Malo; Fernandez-Cruz, Ana; de Diego, Isabel Salcedo; Velasco-Iglesias, Ana; Payares-Herrera, Concepcion; Flecha, Inmaculada Casas; Avendano-Sola, Cristina; Palomino, Rafael Duarte; Ramos-Martinez, Antonio; Ruiz-Antoran, Belen",,,,TRIALS,JAN 20 2021,2021,22,1,,,,,,70,10.1186/s13063-020-05011-9,,,0,0,0
Successful conduct of an acute stroke clinical trial during COVID,"Yamal, Jose-Miguel; Parker, Stephanie A.; Jacob, Asha P.; Rajan, Suja S.; Bowry, Ritvij; Bratina, Patti; Wang, Mengxi; Nour, May; Mackey, Jason; Collins, Sarah; Jones, William; Schimpf, Brandi; Ornelas, David; Spokoyny, Ilana; Im, Jenny Fung; Gilbert, Greg; Eisshofer, Michael; Grotta, James C.",,,,PLOS ONE,JAN 15 2021,2021,16,1,,,,,,e0243603,10.1371/journal.pone.0243603,,,0,0,0
Postdischarge Virtual Visits for Low-risk Surgeries A Randomized Noninferiority Clinical Trial,"Harkey, Kristen; Kaiser, Nicole; Zhao, Jing; Hetherington, Timothy; Gutnik, Bella; Matthews, Brent D.; Kelz, Rachel R.; Reinke, Caroline E.",,,,JAMA SURGERY,MAR 2021,2021,156,3,,,,221,228,,10.1001/jamasurg.2020.6265,,,0,0,0
Resource-Based Internet Intervention (Med-Stress) to Improve Well-Being Among Medical Professionals: Randomized Controlled Trial,"Smoktunowicz, Ewelina; Lesnierowska, Magdalena; Carlbring, Per; Andersson, Gerhard; Cieslak, Roman",,,,JOURNAL OF MEDICAL INTERNET RESEARCH,JAN 11 2021,2021,23,1,,,,,,e21445,10.2196/21445,,,0,0,0
Efficacy of m-Health for the detection of adverse events following immunization - The stimulated telephone assisted rapid safety surveillance (STARSS) randomised control trial,"Gold, M. S.; Lincoln, G.; Cashman, P.; Braunack-Mayer, A.; Stocks, N.",,,,VACCINE,JAN 8 2021,2021,39,2,,,,332,342,,10.1016/j.vaccine.2020.11.056,,,0,0,0
Effects of ACT Out! Social Issue Theater on Social-Emotional Competence and Bullying in Youth and Adolescents: Cluster Randomized Controlled Trial,"Agley, Jon; Jun, Mikyoung; Eldridge, Lori; Agley, Daniel L.; Xiao, Yunyu; Sussman, Steve; Golzarri-Arroyo, Lilian; Dickinson, Stephanie L.; Jayawardene, Wasantha; Gassman, Ruth",,,,JMIR MENTAL HEALTH,JAN 6 2021,2021,8,1,,,,,,e25860,10.2196/25860,,,0,0,0
Is it possible to conduct clinical trials during a pandemic? The example of a trial of hydroxychloroquine,"Lilli, Claudia; Biggeri, Annibale; Zingaretti, Chiara; Vertogen, Bernadette; Frassineti, Valeria; Vespignani, Roberto; Grossi, Veruska; Florescu, Caterina; Matteucci, Laura; Pazzi, Chiara; Bongiovanni, Alberto; Limarzi, Francesco; Fausti, Valentina; Bertoni, Lucia; Donati, Caterina; Galardi, Francesca; Gentili, Nicola; Mazza, Francesco; Martinelli, Giovanni; Nanni, Oriana",,,,EPIDEMIOLOGIA & PREVENZIONE,JAN-APR 2021,2021,45,1-2,,,,28,36,,10.19191/EP21.1-2.P028.036,,,0,0,0
"Randomized Controlled Trial: Self-Care Traumatic Episode Protocol, Computerized EMDR Treatment of COVID-19-Related Stress","Moench, Judy; Billsten, Olivia",,,,JOURNAL OF EMDR PRACTICE AND RESEARCH,2021,2021,15,2,,,,99,113,,10.1891/EMDR-D-20-00047,,,0,0,0
The landscape of COVID-19 clinical trials in Latin America and the Caribbean: assessment and challenges,"Carracedo, Sarah; Palmero, Ana; Neil, Marcie; Hasan-Granier, Anisa; Saenz, Carla; Reveiz, Ludovic",,,,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,2021,2021,45,,,,,,,e33,10.26633/RPSP.2021.33,,,0,0,0
Conducting an ongoing HIV clinical trial during the COVID-19 pandemic in Uganda: a qualitative study of research team and participants' experiences and lessons learnt,"Muwanguzi, Patience A.; Kutyabami, Paul; Osingada, Charles Peter; Nasuuna, Esther M.; Kitutu, Freddy Eric; Ngabirano, Tom Denis; Nankumbi, Joyce; Muhindo, Richard; Kabiri, Lydia; Namutebi, Mariam; Nabunya, Racheal; Kiwanuka, Noah; Sewankambo, Nelson",,,,BMJ OPEN,2021,2021,11,4,,,,,,e048825,10.1136/bmjopen-2021-048825,,,0,0,0
Evaluation of Safety and Efficacy of ReHub in Patients Who Underwent Primary Total Knee Arthroplasty: Study Protocol for a Randomized Controlled Trial,"Nuevo, Montse; Mahdavi, Hadis; Rodriguez, Daniel; Faura, Teresa; Fabrellas, Nuria; Balocco, Simone; Conti, Marco; Castagna, Alessandro; Prat, Salvi",,,,INTERNATIONAL JOURNAL OF SURGERY PROTOCOLS,2021,2021,25,1,,,,34,41,,10.29337/ijsp.138,,,0,0,0
Development and implementation of a potential coronavirus disease 2019 (COVID-19) vaccine: A systematic review and meta-analysis of vaccine clinical trials,"Sathian, Brijesh; Asim, Mohammad; Banerjee, Indrajit; Roy, Bedanta; Pizzaro, Ana Beatriz; Mancha, Maraeh Angela; van Teijlingen, Edwin R.; Varkaneh, Hamed Kord; Mekkodathil, Ahammed Abdulla; Subramanya, Supram Hosuru; Borges do Nascimento, Israel Junior; Antony, Neema; Menezes, Ritesh G.; Simkhada, Padam; Al Hamad, Hanadi",,,,NEPAL JOURNAL OF EPIDEMIOLOGY,2021,2021,11,1,,,,959,982,,10.3126/nje.v11i1.36163,,,0,0,0
CHILD-BRIGHT READYorNot Brain-Based Disabilities Trial: protocol of a randomised controlled trial (RCT) investigating the effectiveness of a patient-facing e-health intervention designed to enhance healthcare transition readiness in youth,"Gorter, Jan Willem; Amaria, Khush; Kovacs, Adrienne; Rozenblum, Ronen; Thabane, Lehana; Galuppi, Barbara; Nguyen, Linda; Strohm, Sonya; Mahlberg, Nadilein; Via-Dufresne Ley, Alicia; Marelli, Ariane",CHILD-BRIGHT READYorNot; Brain-Based Disabilities Trial Stu,,,BMJ OPEN,2021,2021,11,3,,,,,,e048756,10.1136/bmjopen-2021-048756,,,0,0,0
A double-blind randomised controlled trial of protein supplementation to enhance exercise capacity in COPD during pulmonary rehabilitation: a pilot study,"Aldhahir, Abdulelah M.; Aldabayan, Yousef S.; Alqahtani, Jaber S.; Ridsdale, Heidi A.; Smith, Colette; Hurst, John R.; Mandal, Swapna",,,,ERJ OPEN RESEARCH,JAN 1 2021,2021,7,1,,,,,,00077-2021,10.1183/23120541.00077-2021,,,0,0,0
Self-proning in COVID-19 patients on low-flow oxygen therapy: a cluster randomised controlled trial,"Kharat, Aileen; Dupuis-Lozeron, Elise; Cantero, Chloe; Marti, Christophe; Grosgurin, Olivier; Lolachi, Sanaz; Lador, Frederic; Plojoux, Jerome; Janssens, Jean-Paul; Soccal, Paola M.; Adler, Dan",,,,ERJ OPEN RESEARCH,JAN 1 2021,2021,7,1,,,,,,692,10.1183/23120541.00692-2020,,,0,0,0
A Text Messaging Intervention for Coping With Social Distancing During COVID-19 (StayWell at Home): Protocol for a Randomized Controlled Trial,"Figueroa, Caroline Astrid; Hernandez-Ramos, Rosa; Boone, Claire Elizabeth; Gomez-Pathak, Laura; Yip, Vivian; Luo, Tiffany; Sierra, Valentin; Xu, Jing; Chakraborty, Bibhas; Darrow, Sabrina; Aguilera, Adrian",,,,JMIR RESEARCH PROTOCOLS,JAN 2021,2021,10,1,,,,,,e23592,10.2196/23592,,,0,0,0
Chloroquine nasal drops in asymptomatic & mild COVID-19: A exploratory randomized clinical trial,"Thakar, Alok; Panda, Smriti; Sakthivel, Pirabu; Brijwal, Megha; Dhakad, Shivram; Choudekar, Avinash; Kanodia, Anupam; Bhatnagar, Sushma; Mohan, Anant; Maulik, Subir K.; Dar, Lalit",,,,INDIAN JOURNAL OF MEDICAL RESEARCH,JAN-FEB 2021,2021,153,1-2,,,,151,158,,10.4103/ijmr.IJMR_3665_20,,,0,0,0
"Cytokine adsorption in patients with severe COVID-19 pneumonia requiring extracorporeal membrane oxygenation: protocol for a randomised, controlled, open-label intervention, multicentre trial","Rieder, Marina; Schubach, Fabian; Schmoor, Claudia; von Spee-Mayer, Caroline; Wengenmayer, Tobias; Rilinger, Jonathan; Staudacher, Dawid; Bode, Christoph; Duerschmied, Daniel; Supady, Alexander",,,,BMJ OPEN,2021,2021,11,1,,,,,,e043345,10.1136/bmjopen-2020-043345,,,0,0,0
Efficacy of an Online Course in Developing Competency for Prescribing Balanced Diet by Medical Students: A Non - inferiority Trial,"Nujum, Zinia T.; Devanand, P.; Remya, G.; Anuja, U.",,,,INDIAN JOURNAL OF PUBLIC HEALTH,JAN-MAR 2021,2021,65,1,,,,51,56,,10.4103/ijph.IJPH_1248_20,,,0,0,0
Videoconference Intervention for Distance Caregivers of Patients With Cancer: A Randomized Controlled Trial,"Douglas, Sara L.; Mazanec, Polly; Lipson, Amy R.; Day, Kim; Blackstone, Eric; Bajor, David L.; Saltzman, Joel; Krishnamurthi, Smitha",,,,JCO ONCOLOGY PRACTICE,JAN 2021,2021,17,1,,,,34,+,,10.1200/OP.20.00576,,,0,0,0
"Digital health literacy intervention to support maternal, child and family health in primary healthcare settings of Pakistan during the age of coronavirus: study protocol for a randomised controlled trial","Jafree, Sara Rizvi; Bukhari, Nadia; Muzamill, Anam; Tasneem, Faiza; Fischer, Florian",,,,BMJ OPEN,2021,2021,11,3,,,,,,e045163,10.1136/bmjopen-2020-045163,,,0,0,0
"Physical Activity Patterns, Psychosocial Well-Being and Coping Strategies Among Older Persons with Cognitive Frailty of the WE-RISE Trial Throughout the COVID-19 Movement Control Order","Murukesu, Resshaya Roobini; Singh, Devinder Kaur Ajit; Shahar, Suzana; Subramaniam, Ponnusamy",,,,CLINICAL INTERVENTIONS IN AGING,2021,2021,16,,,,,415,429,,10.2147/CIA.S290851,,,0,0,0
"Safety and feasibility of using acellular sterile filtered amniotic fluid as a treatment for patients with COVID-19: protocol for a randomised, double-blinded, placebo-controlled clinical trial","Tonna, Joseph E.; Pierce, Jan; Hatton, Nathan; Lewis, Giavonni; Phillips, John D.; Messina, Alyssa; Skidmore, Chloe R.; Taylor, Kirsten; Selzman, Craig H.",,,,BMJ OPEN,2021,2021,11,2,,,,,,e045162,10.1136/bmjopen-2020-045162,,,0,0,0
Milk Oligosaccharides and Lectins as Candidates for Clinical Trials against Covid-19,"Errasfa, Mourad",,,,CURRENT NUTRITION & FOOD SCIENCE,2021,2021,17,3,,,,246,248,,10.2174/1573401316999200819125355,,,0,0,0
Inadequate Minority Representation within SARS-CoV-2 Vaccine Trials,"Craft, Joshua F.; Travassos, Mark A.; Palacios, Carlo Foppiano; Openshaw, John J.",,,,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,JAN 2021,2021,104,1,,,,32,34,,10.4269/ajtmh.20-1294,,,0,0,0
"Tubaramure, a Food-Assisted Integrated Health and Nutrition Program, Reduces Child Wasting in Burundi: A Cluster-Randomized Controlled Intervention Trial","Leroy, Jef L.; Olney, Deanna K.; Nduwabike, Noe; Ruel, Marie T.",,,,JOURNAL OF NUTRITION,JAN 2021,2021,151,1,,,,197,205,,10.1093/jn/nxaa330,,,0,0,0
Effect of a genetically engineered interferon-alpha versus traditional interferon-alpha in the treatment of moderate-to-severe COVID-19: a randomised clinical trial,"Li, Chuan; Luo, Fengming; Liu, Chengwu; Xiong, Nian; Xu, Zhihua; Zhang, Wei; Yang, Ming; Wang, Ye; Liu, Dan; Yu, Chao; Zeng, Jia; Zhang, Li; Li, Duo; Liu, Yanbin; Feng, Mei; Liu, Ruoyang; Mei, Jiandong; Deng, Senyi; Zeng, Zhen; He, Yuanhong; Liu, Haiyan; Shi, Zhengyu; Duan, Meng; Kang, Deying; Liao, Jiayu; Li, Weimin; Liu, Lunxu",,,,ANNALS OF MEDICINE,JAN 1 2021,2021,53,1,,,,391,401,,10.1080/07853890.2021.1890329,,,0,0,0
"Study protocol for a multicentre, 2x2 factorial, randomised, controlled trial evaluating the interest of intravenous iron and tranexamic acid to reduce blood transfusion in hip fracture patients (the HiFIT study)","Lasocki, Sigismond; Loupec, Thibault; Parot-Schinkel, Elsa; Vielle, Bruno; Danguy des Deserts, Marc; Roquilly, Antoine; Lahlou-Casulli, Maria; Collange, Vincent; Desebbe, Olivier; Duchalais, Alexis; Drugeon, Bertrand; Bouzat, Pierre; Garrigue, Delphine; Mounet, Benjamin; Hamard, Franck; David, Jean-Stephane; Leger, Maxime; Rineau, Emmanuel",HiFIT Study Grp,,,BMJ OPEN,2021,2021,11,1,,,,,,e040273,10.1136/bmjopen-2020-040273,,,0,0,0
Recruitment and Baseline Characteristics of Participants in the AgeWell.de Study-A Pragmatic Cluster-Randomized Controlled Lifestyle Trial against Cognitive Decline,"Roehr, Susanne; Zulke, Andrea; Luppa, Melanie; Brettschneider, Christian; Weissenborn, Marina; Kuehne, Flora; Zoellinger, Isabel; Samos, Franziska-Antonia Zora; Bauer, Alexander; Doehring, Juliane; Krebs-Hein, Kerstin; Oey, Anke; Czock, David; Frese, Thomas; Gensichen, Jochen; Haefeli, Walter E.; Hoffmann, Wolfgang; Kaduszkiewicz, Hanna; Koenig, Hans-Helmut; Thyrian, Jochen Rene; Wiese, Birgitt; Riedel-Heller, Steffi G.",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,JAN 2021,2021,18,2,,,,,,408,10.3390/ijerph18020408,,,0,0,0
Fair and equitable subject selection in concurrent COVID-19 clinical trials,"Jansen, Maud O.; Angelos, Peter; Schrantz, Stephen J.; Donington, Jessica S.; Madariaga, Maria Lucia L.; Zakrison, Tanya L.",,,,JOURNAL OF MEDICAL ETHICS,JAN 2021,2021,47,1,,,,7,11,,10.1136/medethics-2020-106590,,,0,0,0
Temporary derogation from European environmental legislation for clinical trials of genetically modified organisms for coronavirus disease 2019,"Iglesias-Lopez, Carolina",,,,CYTOTHERAPY,JAN 2021,2021,23,1,,,,10,11,,10.1016/j.jcyt.2020.09.005,,,0,0,0
Efficacy and safety of Chinese herbal medicine versus Lopinavir-Ritonavir in adult patients with coronavirus disease 2019: A non-randomized controlled trial,"Shi, Nannan; Guo, Lanping; Liu, Bin; Bian, Yongjun; Chen, Renbo; Chen, Suping; Chen, Yang; Chen, Yingying; Cong, Xiaodong; Dong, Guoju; Guo, Jing; Hu, Lijie; Jiang, Jianxin; Leng, Luxing; Li, Bin; Li, Dongxu; Li, Hao; Li, Jing; Li, Li; Liu, Jia; Lu, Cheng; Lv, Wenliang; Miao, Qing; Qi, Wensheng; Shi, Zhan; Shi, Jiaheng; Shi, Huaxin; Tian, Yaxin; Wang, Bing; Wang, Gang; Wang, Jian; Wang, Wei; Xian, Yongyue; Xie, Xiaolei; Xiong, Yibai; Xu, Chunyan; Xu, Ming; Yan, Bei; Yang, Jinliang; Zhang, Li; Zhou, Zhenqi; Zhu, Haoning; Huang, Luqi",,,,PHYTOMEDICINE,JAN 2021,2021,81,,,,,,,153367,10.1016/j.phymed.2020.153367,,,0,0,0
A Hybrid Deep Learning Model for COVID-19 Prediction and Current Status of Clinical Trials Worldwide,"Ketu, Shwet; Mishra, Pramod Kumar",,,,CMC-COMPUTERS MATERIALS & CONTINUA,2021,2021,66,2,,,,1897,1920,,10.32604/cmc.2020.012423,,,0,0,0
"Convalescent plasma for adults with acute COVID-19 respiratory illness (CONCOR-1): updates study protocol for an international, multicentre, randomized, open-label trial","Begin, Philippe; Callum, Jeannie; Heddle, Nancy M.; Cook, Richard; Zeller, Michelle P.; Tinmouth, Alan; Fergusson, Dean A.; Cushing, Melissa M.; Glesby, Marshall J.; Chasse, Michael; Devine, Dana V.; Robitalle, Nancy; Bazin, Renee; Shehata, Nadine; Finzi, Andres; McGeer, Allison; Scales, Damon C.; Schwartz, Lisa; Turgeon, Alexis F.; Zarychanski, Ryan; Daneman, Nick; Carl, Richard; Amorim, Luiz; Gabe, Caroline; Ellis, Martin; Sachais, Bruce S.; Loftsgard, Kent Cadogan; Jamula, Erin; Carruthers, Julie; Duncan, Joanne; Lucier, Kayla; Li, Na; Liu, Yang; Armali, Chantal; Kron, Amie; Modi, Dimpy; Auclair, Marie-Christine; Cerro, Sabrina; Avram, Meda; Arnold, Donald M.",,,,TRIALS,MAY 4 2021,2021,22,1,,,,,,323,10.1186/s13063-021-05235-3,,,1,1,1
Statistical Decision Properties of Imprecise Trials Assessing Coronavirus Disease 2019 (COVID-19) Drugs,"Manski, Charles F.; Tetenov, Aleksey",,,,VALUE IN HEALTH,MAY 2021,2021,24,5,,,,641,647,,10.1016/j.jval.2020.11.019,,,1,1,1
A computational approach to aid clinicians in selecting anti-viral drugs for COVID-19 trials,"Mongia, Aanchal; Saha, Sanjay Kr.; Chouzenoux, Emilie; Majumdar, Angshul",,,,SCIENTIFIC REPORTS,APR 27 2021,2021,11,1,,,,,,9047,10.1038/s41598-021-88153-3,,,1,1,1
Philosophy for children and mindfulness during COVID-19: Results from a randomized cluster trial and impact on mental health in elementary school students,"Malboeuf-Hurtubise, Catherine; Leger-Goodes, Terra; Mageau, Genevieve A.; Joussemet, Mireille; Herba, Catherine; Chadi, Nicholas; Lefrancois, David; Camden, Chantal; Bussieres, Eve-Line; Taylor, Genevieve; Ethier, Marc-Andre; Gagnon, Mathieu",,,,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,APR 20 2021,2021,107,,,,,,,110260,10.1016/j.pnpbp.2021.110260,,,1,1,1
